STT,year,location_code,Tong_Import,Tong_Export,Balance
433,1964,SOM,27765530,16310496,-11455034
434,1964,SPM,4303441,1316324,-2987117
435,1964,SUR,65398911,49680081,-15718830
436,1964,SWE,3567131656,3471065766,-96065890
437,1964,SYC,300058,0,-300058
438,1964,SYR,132988926,174997299,42008373
439,1964,TCD,23962121,25083490,1121369
440,1964,TGO,37046457,34356187,-2690270
441,1964,THA,619341125,608442307,-10898818
442,1964,TLS,19817837,56143788,36325951
443,1964,TTO,283773892,269986975,-13786917
444,1964,TUN,235714804,176775695,-58939109
445,1964,TUR,534431238,410087170,-124344068
446,1964,TWN,445953857,475898210,29944353
447,1964,UGA,30284366,100730310,70445944
448,1964,URY,182547723,167115088,-15432635
449,1964,USA,18037988585,24888983438,6850994853
450,1964,VEN,1144788949,2574089642,1429300693
451,1964,VGB,46180,22030,-24150
452,1964,VIR,175790,2279,-173511
453,1964,VNM,301409410,57660866,-243748544
454,1964,VUT,30857549,49554358,18696809
455,1964,WSM,6707919,5908389,-799530
456,1964,YEM,2725658,3178514,452856
457,1964,ZAF,1974186269,1268112323,-706073946
458,1965,AGO,172028183,202290622,30262439
459,1965,ALB,18961298,3401818,-15559480
460,1965,AND,0,111429,111429
461,1965,ANT,805507168,664041981,-141465187
462,1965,ARG,1176851268,1659768832,482917564
463,1965,ATG,3699,1508,-2191
464,1965,AUS,3026114342,2947723777,-78390565
465,1965,AUT,1995540208,1441928351,-553611857
466,1965,BDI,23408398,30177685,6769287
467,1965,BEL,6758500028,6717624358,-40875670
468,1965,BEN,32169441,17667213,-14502228
469,1965,BFA,25927951,6830089,-19097862
470,1965,BGR,264193211,186691615,-77501596
471,1965,BHR,77000265,118707991,41707726
472,1965,BHS,173738666,25704385,-148034281
473,1965,BLZ,3600,0,-3600
474,1965,BMU,87309226,21664338,-65644888
475,1965,BOL,121642954,94199644,-27443310
476,1965,BRA,1026969403,1656920222,629950819
477,1965,BRB,44172216,27196449,-16975767
478,1965,BRN,31332834,73960574,42627740
479,1965,BTN,0,3039,3039
480,1965,CAF,22703238,30031882,7328644
481,1965,CAN,7912898688,8230735852,317837164
482,1965,CHE,3917005585,2918399645,-998605940
483,1965,CHL,622039556,837006344,214966788
484,1965,CHN,1166204692,1315614323,149409631
485,1965,CIV,213901137,328935442,115034305
486,1965,CMR,129766617,166282279,36515662
487,1965,COD,269852293,415648362,145796069
488,1965,COG,66347088,43780458,-22566630
489,1965,COL,423684556,600779368,177094812
490,1965,COM,4113090,2136500,-1976590
491,1965,CPV,1005898,0,-1005898
492,1965,CRI,157567975,122294249,-35273726
493,1965,CUB,202485631,160516465,-41969166
494,1965,CYP,115686199,71836490,-43849709
495,1965,DEU,16785525909,18878088026,2092562117
496,1965,DJI,31627008,513395,-31113613
497,1965,DMA,5196,8398,3202
498,1965,DNK,2619833552,2152399720,-467433832
499,1965,DOM,125580362,134614405,9034043
500,1965,DZA,662517145,741890645,79373500
501,1965,ECU,173691805,227171806,53480001
502,1965,EGY,775630689,395678603,-379952086
503,1965,ESP,2930482088,1172167740,-1758314348
504,1965,ETH,130392646,101214776,-29177870
505,1965,FIN,1306938659,1242988360,-63950299
506,1965,FJI,50665207,35802470,-14862737
507,1965,FRA,9997363386,9861410718,-135952668
508,1965,FRO,0,7691,7691
509,1965,GAB,52934884,117225874,64290990
510,1965,GBR,14442302708,13485679553,-956623155
511,1965,GHA,369340694,274304831,-95035863
512,1965,GIB,3210508,23846,-3186662
513,1965,GIN,45856148,52644629,6788481
514,1965,GMB,14016373,11619670,-2396703
515,1965,GNB,22512824,12178386,-10334438
516,1965,GNQ,13643237,2603928,-11039309
517,1965,GRC,1073149853,312562777,-760587076
518,1965,GRD,0,1511,1511
519,1965,GRL,2311898,0,-2311898
520,1965,GTM,223804479,201413620,-22390859
521,1965,GUY,74655922,84615621,9959699
522,1965,HKG,1616481321,1174451159,-442030162
523,1965,HND,113344814,141078895,27734081
524,1965,HTI,36975227,44981055,8005828
525,1965,HUN,370930546,360430389,-10500157
526,1965,IDN,515417314,755833409,240416095
527,1965,IND,2523936981,1550345305,-973591676
528,1965,IRL,963129000,671419121,-291709879
529,1965,IRN,807963431,1486366830,678403399
530,1965,IRQ,293585946,906837197,613251251
531,1965,ISL,123392155,110891489,-12500666
532,1965,ISR,736363793,420561416,-315802377
533,1965,ITA,6940335978,6768529325,-171806653
534,1965,JAM,252477410,254800052,2322642
535,1965,JOR,145970751,24299729,-121671022
536,1965,JPN,7262913993,7943124037,680210044
537,1965,KEN,252036384,154494886,-97541498
538,1965,KHM,75366504,94579223,19212719
539,1965,KOR,502946035,161711076,-341234959
540,1965,KWT,309834555,1600850318,1291015763
541,1965,LAO,33561229,2842453,-30718776
542,1965,LBN,397675538,108939208,-288736330
543,1965,LBR,591258510,207795524,-383462986
544,1965,LBY,368579398,1078797620,710218222
545,1965,LCA,0,30224,30224
546,1965,LKA,297132331,394919537,97787206
547,1965,MAC,0,12445,12445
548,1965,MAR,438558430,510059991,71501561
549,1965,MDG,122364808,104703575,-17661233
550,1965,MDV,861730,0,-861730
551,1965,MEX,1669022921,1254450828,-414572093
552,1965,MLI,32954503,7328770,-25625733
553,1965,MLT,109902797,16796845,-93105952
554,1965,MMR,223811974,220032427,-3779547
555,1965,MNG,756483,6939780,6183297
556,1965,MOZ,153567567,115994862,-37572705
557,1965,MRT,22667366,71749689,49082323
558,1965,MUS,53643473,69442547,15799074
559,1965,MWI,18218281,26993534,8775253
560,1965,MYS,1223294585,1406800200,183505615
